time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,land_cover_value,land_cover
2022-12-05 00:54:30.832100352,434766.44395204174,7768051.45171672,42.5857377765348,0.003039213749774146,42.764194625342455,0.008430898259529298,-0.0018530718909387659,1,0.1784568488076559,0.17541763505788174,51.0,Shrub
2022-12-05 00:54:30.833501952,434765.44982686866,7768061.398162598,42.57254698704445,0.021394175442490667,42.75470986160083,0.008971148180599294,-0.0004313499975113249,1,0.1821628745563828,0.16076869911389213,51.0,Shrub
2022-12-05 00:54:30.836306688,434763.47070910095,7768081.30622759,42.54240225569532,0.04273206099082315,42.74493868173707,0.009623502030054317,-0.0020532473930729785,1,0.20253642604174615,0.159804365050923,51.0,Shrub
2022-12-05 00:54:30.837709568,434762.4875962275,7768091.268028266,42.5607860302283,0.055557368003051937,42.72724524734053,0.01059150117126202,0.004020958693928983,1,0.16645921711222655,0.11090184910917461,51.0,Shrub
2022-12-05 00:54:30.839106304,434761.5251399629,7768101.217461056,42.62707496200724,0.0875759110416455,42.73500058375727,0.011558626899775017,6.900238481613994e-06,1,0.10792562175002729,0.02034971070838179,51.0,Shrub
2022-12-05 00:54:30.841900800,434759.62816597964,7768121.133336623,42.49984959092539,0.018841594981861602,42.684377765662774,0.009299044708060245,0.00046721403521383725,1,0.18452817473738037,0.16568657975551876,51.0,Shrub
2022-12-05 00:54:30.843301120,434758.6836623563,7768131.098839054,42.51789158361733,0.04580361950009707,42.69069387223805,0.008857121566124943,0.0017083467215164155,1,0.17280228862072278,0.1269986691206257,51.0,Shrub
2022-12-05 00:54:30.844697600,434757.7425861623,7768141.050253706,42.50600624342161,0.02301738934222622,42.68683102116457,0.008586324382294992,-0.0004789362439012056,1,0.1808247777429628,0.15780738840073658,51.0,Shrub
2022-12-05 00:54:30.846096128,434756.8013995378,7768151.016077924,42.517667131878994,0.015166995353211813,42.68118177308737,0.008826818988787986,0.0009368265458727888,1,0.16351464120837278,0.14834764585516097,51.0,Shrub
2022-12-05 00:54:30.847491584,434755.86165876494,7768160.967649236,42.537338206944526,0.03419680490639817,42.71181322344377,0.010219160615463452,0.006815832518233262,1,0.1744750164992439,0.14027821159284573,51.0,Shrub
2022-12-05 00:54:30.851684096,434753.0355575192,7768190.850456419,42.4397596725976,0.03022905048917435,42.64185882725095,0.010024603491395025,-0.006194312362536038,1,0.2020991546533466,0.17187010416417225,51.0,Shrub
2022-12-05 00:54:30.854480896,434751.1414796647,7768210.766531698,42.36201723610871,0.017499906232483785,42.55429962573399,0.009724371191265875,-0.003795796977421228,1,0.19228238962527655,0.17478248339279276,51.0,Shrub
2022-12-05 00:54:30.855878656,434750.1912993614,7768220.717184656,42.36139972222065,0.02374589985467983,42.5121281563752,0.010830369625111963,-0.004678961173876058,1,0.1507284341545443,0.12698253429986445,51.0,Shrub
2022-12-05 00:54:30.857280768,434749.24175327667,7768230.682128075,42.30203383773488,0.020864477558524986,42.499555061781685,0.009886754464303697,-0.0008794343591761233,1,0.1975212240468025,0.1766567464882775,51.0,Shrub
2022-12-05 00:54:30.858679552,434748.27721533005,7768240.631429421,42.32458878646625,0.04320517223555226,42.49025618850773,0.008686474763564598,-0.002591564551016974,1,0.16566740204147834,0.12246222980592608,51.0,Shrub
2022-12-05 00:54:30.860080640,434747.2922468506,7768250.593126345,42.29192743440646,0.009590773078876125,42.4622154287781,0.010209875364874402,-0.002504163577522264,1,0.1702879943716411,0.16069722129276498,51.0,Shrub
2022-12-05 00:54:30.861482752,434746.30671590986,7768260.540384374,42.29529203402495,0.02715698170803091,42.45694165249487,0.010483823399182001,0.00016983299826336566,1,0.16164961846991588,0.13449263676188497,51.0,Shrub
2022-12-05 00:54:30.862887424,434745.3189432995,7768270.501686099,42.27838950656002,0.030304854407290114,42.47824247991717,0.010321662144948071,0.002003414278370386,1,0.19985297335715302,0.1695481189498629,51.0,Shrub
